com,deprived_in_0_dimensions,deprived_in_1_dimension,deprived_in_2_dimensions,deprived_in_3_dimensions,deprived_in_4_dimensions
newry,3125.4000641000002,2872.1138582,2050.5119846000002,845.1513081,130.0546383
north-belfast,5936.1691586,7197.332446,6579.1614321,3574.011263,388.1706589
