com,one_person_household_aged_66_and_over,one_person_household_other,single_family_household_couple_family_household_no_children,single_family_household_couple_family_household_dependent_children,single_family_household_couple_family_household_all_children_non_dependent,single_family_household_lone_parent_family_with_dependent_children,single_family_household_lone_parent_family_all_children_non_dependent,single_family_household_other_family_composition_including_all_aged_66_and_over,other_household_types
newry,1028.5518828,1683.5180386,1028.3481801,1646.4810476,798.5286935,940.4364992,674.1881226,723.6400618,497.6247268
north_belfast,2908.9134486,6194.0876531,2150.6956276,2383.4524403,1327.9786228,4264.6748697,1897.3882446,1317.2608547,1204.4742895
