com,catholic,presbyterian_church_in_ireland,church_of_ireland,methodist_church_in_ireland,other_christian_including_christian_related,other_religions,no_religion,religion_not_stated
newry,18358.0534983,478.2587225,341.1023979,71.6367319,616.3305715,282.8172919,2126.7981817,347.1931091
north-belfast,19954.4766344,9312.9599565,7359.6517034,1879.2334805,3580.5782905,861.9821913,8896.4199276,1139.6049025
