com,age_0_years,age_1_year,age_2_years,age_3_years,age_4_years,age_5_years,age_6_years,age_7_years,age_8_years,age_9_years,age_10_years,age_11_years,age_12_years,age_13_years,age_14_years,age_15_years,age_16_years,age_17_years,age_18_years,age_19_years,age_20_years,age_21_years,age_22_years,age_23_years,age_24_years,age_25_years,age_26_years,age_27_years,age_28_years,age_29_years,age_30_years,age_31_years,age_32_years,age_33_years,age_34_years,age_35_years,age_36_years,age_37_years,age_38_years,age_39_years,age_40_years,age_41_years,age_42_years,age_43_years,age_44_years,age_45_years,age_46_years,age_47_years,age_48_years,age_49_years,age_50_years,age_51_years,age_52_years,age_53_years,age_54_years,age_55_years,age_56_years,age_57_years,age_58_years,age_59_years,age_60_years,age_61_years,age_62_years,age_63_years,age_64_years,age_65_years,age_66_years,age_67_years,age_68_years,age_69_years,age_70_years,age_71_years,age_72_years,age_73_years,age_74_years,age_75_years,age_76_years,age_77_years,age_78_years,age_79_years,age_80_years,age_81_years,age_82_years,age_83_years,age_84_years,age_85_years
newry,276.9319084,294.0778405,249.51700590000002,302.2817232,267.7505676,291.0223685,303.2232041,304.4285891,306.5724513,310.0542752,295.7106355,302.652208,304.4548774,298.0619037,283.3905881,244.0900316,289.9092368,283.2021149,258.502583,211.569319,209.0172903,228.0671702,227.8531723,283.2618244,308.3725756,303.6537752,283.778668,286.5395044,296.9873798,309.3398721,305.2924083,307.6100079,291.7502007,345.1450322,314.4328259,340.5528907,330.5974827,322.4049982,299.5519621,307.2334212,283.6550169,313.8693673,286.5013937,289.8486102,291.1638228,260.0110464,287.9104853,287.9807574,306.817441,302.959457,308.3577735,322.6053989,310.3381526,336.7473343,296.7563034,290.9397943,348.13383,331.2561779,300.3856391,284.4471871,307.3691777,270.177928,265.4358112,274.9904336,262.4240067,245.8507752,235.6868065,216.5018929,209.3887834,184.1451871,183.5562283,198.020643,173.8205909,179.7130665,155.3900039,169.4444725,164.3848285,140.5642905,139.0675091,117.4405769,101.0554755,98.2509338,97.5331541,88.9665142,98.825447,442.0623898
north_belfast,688.96330150000006,674.1668019,730.9258873,720.6199651,758.0231902,760.6150699,773.3139652,738.2583478,850.1048671,794.1028196,781.630639,814.5385619,729.0312235,748.1743084,716.9330093,708.4050558,687.7363369,666.3629862,622.2411194,602.4804731,590.8615616,650.2762292,687.0412738,640.595436,629.8140969,653.591625,752.2016802,742.0320545,743.0203456,805.0551692,788.8423885,830.6748649,840.4418241,828.047959,778.0630528,785.0344647,775.7669777,715.0180183,767.6151358,687.6631834,712.8094634,706.7449112,624.6607943,608.026152,547.2251727,600.8732297,594.6686509,622.7271169,616.8689673,577.3054101,653.7563375,637.9116112,639.3830302,678.4140328,664.5461391,758.845884,740.3673923,715.9307782,731.1476074,642.5812432,700.385168,599.8967365,599.1591665,591.0167674,538.0744256,508.5222945,465.3738611,417.9975263,410.4066887,370.0743274,368.441231,353.3252408,350.7891864,347.0105295,377.138208,320.3604376,313.7517147,353.3781182,304.4430277,297.8363071,205.0923751,245.9053415,224.8668629,225.8958702,181.5844879,1001.8318390000001
