com,white,irish_traveller,roma,indian,chinese,filipino,pakistani,arab,other_asian,black_african,black_other,mixed,other_ethnicities
newry,21821.9118401,117.3755585,20.4881614,116.001244,84.5508503,47.9586289,23.2590395,35.3383801,40.6971652,69.5648374,36.9736994,141.8267349,73.7154243
north_belfast,50446.405968600004,48.7702568,20.6488183,189.3299242,170.7769667,495.813225,41.7977167,91.9834188,104.6525706,653.0480039,68.4693318,500.104498,140.0381838
