com,age_0_4_years,age_10_14_years,age_15_19_years,age_20_24_years,age_25_29_years,age_30_34_years,age_35_39_years,age_40_44_years,age_45_49_years,age_50_54_years,age_55_59_years,age_5_9_years,age_60_64_years,age_65_69_years,age_70_74_years,age_75_79_years,age_80_84_years,age_85_plus_years
newry,1390.5590456,1484.2702127,1287.2732853,1256.5720328,1480.2991995,1564.230475,1600.3407549,1465.0382109,1445.6791871,1574.8049627,1555.1626284,1515.3008882,1380.3973572,1091.5734451,890.5005326,730.9016775,484.6315246,442.0623898
north_belfast,3572.699146,3790.3077421,3287.2259714,3198.5885975,3695.9008745,4066.0700893,3731.0977799,3199.4664936,3012.4433749,3274.0111508,3588.8729051,3916.3950696,3028.532264,2172.374698,1796.7043957,1589.7696053,1083.3449376,1001.8318390000001
