com,hours_15_or_less_worked_per_week,hours_16_30_worked_per_week,hours_31_48_worked_per_week,hours_49_worked_per_week,not_applicable
newry,1084.3880886,2025.1728312,5825.6984622,719.9845725,12968.6469921
north_belfast,1905.6918214,5228.5242757,11041.8966994,1028.3478668,33781.0008732
