diocese,one_person_household_aged_66_and_over,one_person_household_other,single_family_household_couple_family_household_no_children,single_family_household_couple_family_household_dependent_children,single_family_household_couple_family_household_all_children_non_dependent,single_family_household_lone_parent_family_with_dependent_children,single_family_household_lone_parent_family_all_children_non_dependent,single_family_household_other_family_composition_including_all_aged_66_and_over,other_household_types
Connor,25904,40649,29501,39673,17867,20838,12855,19461,8555
Down and Dromore,38864,61998,45523,60859,24638,24975,16882,29762,15137
