diocese,white,irish_traveller,roma,indian,chinese,filipino,pakistani,arab,other_asian,black_african,black_other,mixed,other_ethnicities
Connor,505696,454,820,2380,1830,1410,417,338,807,1921,376,3462,814
Down and Dromore,733640,592,435,5908,6329,2313,913,1149,2617,4206,845,7084,1637
