diocese,age_0_years,age_1_year,age_2_years,age_3_years,age_4_years,age_5_years,age_6_years,age_7_years,age_8_years,age_9_years,age_10_years,age_11_years,age_12_years,age_13_years,age_14_years,age_15_years,age_16_years,age_17_years,age_18_years,age_19_years,age_20_years,age_21_years,age_22_years,age_23_years,age_24_years,age_25_years,age_26_years,age_27_years,age_28_years,age_29_years,age_30_years,age_31_years,age_32_years,age_33_years,age_34_years,age_35_years,age_36_years,age_37_years,age_38_years,age_39_years,age_40_years,age_41_years,age_42_years,age_43_years,age_44_years,age_45_years,age_46_years,age_47_years,age_48_years,age_49_years,age_50_years,age_51_years,age_52_years,age_53_years,age_54_years,age_55_years,age_56_years,age_57_years,age_58_years,age_59_years,age_60_years,age_61_years,age_62_years,age_63_years,age_64_years,age_65_years,age_66_years,age_67_years,age_68_years,age_69_years,age_70_years,age_71_years,age_72_years,age_73_years,age_74_years,age_75_years,age_76_years,age_77_years,age_78_years,age_79_years,age_80_years,age_81_years,age_82_years,age_83_years,age_84_years,age_85_years
Connor,5562,5912,6085,6079,6577,6482,6592,6573,6841,6872,7027,6910,7015,6878,6579,6443,6533,6435,5994,5414,5255,5495,5832,5800,6232,5921,6001,6229,6356,6545,6630,6617,6883,7047,6842,6901,6993,6734,6781,6723,6997,7033,6477,6335,6198,6202,6479,6746,7046,7098,7292,7356,7462,7610,7536,7558,7789,7458,7177,6965,7000,6471,6350,6268,5931,5757,5325,5196,5049,4706,4774,4701,4627,4510,4635,3983,3958,3889,3719,3134,2666,2747,2644,2302,2115,11061
Down and Dromore,7981,8616,8889,8706,9274,9375,9408,9319,9916,9891,10026,9766,9884,9705,9287,8721,8844,8657,8747,9245,9499,9370,9965,10007,10002,9830,9713,9873,9875,10218,10463,10358,10472,10452,10675,10538,10305,10102,10242,10105,10279,10449,9738,9260,9139,9181,9159,9621,9861,9940,10291,10010,10290,10701,10522,10506,10746,10428,10195,10102,9940,9414,9099,8979,8427,8203,7546,7505,7252,7036,6923,6879,6789,6950,6579,5979,6010,5821,5467,4562,4090,3864,3774,3361,3293,17226
