diocese,catholic,presbyterian_church_in_ireland,church_of_ireland,methodist_church_in_ireland,other_christian_including_christian_related,other_religions,no_religion,religion_not_stated
Connor,164626,120733,60434,14965,42711,6020,102665,8640
Down and Dromore,259290,135906,88566,21166,60777,14753,174585,12664
