diocese,age_0_4_years,age_10_14_years,age_15_19_years,age_20_24_years,age_25_29_years,age_30_34_years,age_35_39_years,age_40_44_years,age_45_49_years,age_50_54_years,age_55_59_years,age_5_9_years,age_60_64_years,age_65_69_years,age_70_74_years,age_75_79_years,age_80_84_years,age_85_plus_years
Connor,30215,34409,30819,28614,31052,34019,34132,33040,33571,37256,36947,33360,32020,26033,23247,18683,12474,11061
Down and Dromore,43466,48668,44214,48843,49509,52420,51292,48865,47762,51814,51977,47909,45859,37542,34120,27839,18382,17226
