diocese,deprived_in_0_dimensions,deprived_in_1_dimension,deprived_in_2_dimensions,deprived_in_3_dimensions,deprived_in_4_dimensions
Connor,83812,69246,44060,16382,1857
Down and Dromore,133948,101932,58943,21149,2597
