com,com_label,diocese,diocese_label,nation,nation_label,level,statistic,category,units,count,proportion
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,nation,age-five-year,age_40_44_years,persons,122144,0.06417117918429513
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,nation,age-five-year,age_45_49_years,persons,121558,0.06386331051287453
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,nation,age-five-year,age_50_54_years,persons,130918,0.06878080328505329
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,nation,age-five-year,age_55_59_years,persons,129491,0.0680310957865598
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,nation,age-five-year,age_5_9_years,persons,124453,0.06538426580939777
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,nation,age-five-year,age_60_64_years,persons,113092,0.059415501345217975
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,nation,age-five-year,age_65_69_years,persons,93481,0.049112408315816515
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,nation,age-five-year,age_70_74_years,persons,83531,0.04388494537957948
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,nation,age-five-year,age_75_79_years,persons,66319,0.03484222255962854
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,nation,age-five-year,age_80_84_years,persons,43844,0.023034460801645888
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,nation,age-five-year,age_85_plus_years,persons,39416,0.02070810845173055
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_0_years,persons,276.9319084,0.012232192052409222
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_10_years,persons,295.7106355,0.013061655864340913
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_11_years,persons,302.652208,0.01336826787036182
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_12_years,persons,304.4548774,0.013447892491573585
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_13_years,persons,298.0619037,0.013165512311780621
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_14_years,persons,283.3905881,0.012517474492240185
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_15_years,persons,244.0900316,0.01078155334955918
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_16_years,persons,289.9092368,0.01280540578654743
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_17_years,persons,283.2021149,0.012509149556365328
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_18_years,persons,258.502583,0.01141816145192121
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_19_years,persons,211.569319,0.009345100596596443
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_1_year,persons,294.0778405,0.012989534662643326
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_20_years,persons,209.0172903,0.009232376478375402
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_21_years,persons,228.0671702,0.010073817216853085
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_22_years,persons,227.8531723,0.010064364844872059
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_23_years,persons,283.2618244,0.012511786948623855
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_24_years,persons,308.3725756,0.013620938772381934
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_25_years,persons,303.6537752,0.013412507490182364
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_26_years,persons,283.778668,0.012534616135093499
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_27_years,persons,286.5395044,0.012656563372106374
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_28_years,persons,296.9873798,0.013118050165631976
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_29_years,persons,309.3398721,0.013663664641813103
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_2_years,persons,249.5170059,0.011021264953341594
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_30_years,persons,305.2924083,0.013484886563068696
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_31_years,persons,307.6100079,0.01358725585511445
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_32_years,persons,291.7502007,0.012886721890987898
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_33_years,persons,345.1450322,0.015245192741413128
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_34_years,persons,314.4328259,0.013888622427846428
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_35_years,persons,340.5528907,0.01504235603298044
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_36_years,persons,330.5974827,0.014602621719518094
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_37_years,persons,322.4049982,0.014240756435126093
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_38_years,persons,299.5519621,0.013231328781335943
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_39_years,persons,307.2334212,0.013570621871456166
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_3_years,persons,302.2817232,0.013351903410042743
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_40_years,persons,283.6550169,0.012529154417043636
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_41_years,persons,313.8693673,0.013863734238368364
